time(s),lead voltage(mv)
9.792,0.224
9.794,0.2245
9.796,0.2415
9.798,0.242
9.8,0.2495
9.802,0.24
9.804,0.231
9.806,0.2315
9.808,0.227
9.81,0.2485
9.812,0.256
9.814,0.2615
9.816,0.2675
9.818,0.274
9.82,0.2795
9.822,0.279
9.824,0.258
9.826,0.2305
9.828,0.192
9.83,0.2035
9.832,0.2115
9.834,0.2235
9.836,0.214
9.838,0.206
9.84,0.2005
9.842,0.1885
9.844,0.1885
9.846,0.1745
9.848,0.1515
9.85,0.1375
9.852,0.1215
9.854,0.115
9.856,0.118
9.858,0.1285
9.86,0.1385
9.862,0.1425
9.864,0.1305
9.866,0.132
9.868,0.1275
9.87,0.1265
9.872,0.1265
9.874,0.1395
9.876,0.155
9.878,0.1785
9.88,0.2035
9.882,0.215
9.884,0.2125
9.886,0.2255
9.888,0.221
9.89,0.2185
9.892,0.2155
9.894,0.228
9.896,0.233
9.898,0.2425
9.9,0.247
9.902,0.251
9.904,0.2415
9.906,0.2395
9.908,0.233
9.91,0.232
9.912,0.2315
9.914,0.245
9.916,0.2425
9.918,0.2625
9.92,0.2655
9.922,0.279
9.924,0.292
9.926,0.313
9.928,0.3495
9.93,0.391
9.932,0.4355
9.934,0.483
9.936,0.519
9.938,0.537
9.94,0.523
9.942,0.49
9.944,0.416
9.946,0.36
9.948,0.2955
9.95,0.2785
9.952,0.2225
9.954,0.166
9.956,0.0725
9.958,0.0425
9.96,-0.022
9.962,-0.053
9.964,-0.0975
9.966,-0.089
9.968,-0.0575
9.97,-0.0295
9.972,0.0445
9.974,0.136
9.976,0.208
9.978,0.279
9.98,0.413
9.982,0.495
9.984,0.566
9.986,0.6185
9.988,0.638
9.99,0.542
9.992,0.4615
9.994,0.445
9.996,0.423
9.998,0.452
10,0.4695
10.002,0.478
10.004,0.473
10.006,0.465
10.008,0.427
10.01,0.3865
10.012,0.3685
10.014,0.352
10.016,0.342
10.018,0.3535
10.02,0.355
10.022,0.3505
10.024,0.3385
10.026,0.3385
10.028,0.3225
10.03,0.3225
10.032,0.3155
10.034,0.3185
10.036,0.322
10.038,0.3245
10.04,0.3295
10.042,0.331
10.044,0.3205
10.046,0.3165
10.048,0.3095
10.05,0.302
10.052,0.299
10.054,0.309
10.056,0.315
10.058,0.3165
10.06,0.3155
10.062,0.323
10.064,0.3115
10.066,0.307
10.068,0.298
10.07,0.298
10.072,0.293
10.074,0.2985
10.076,0.307
10.078,0.307
10.08,0.3135
10.082,0.3115
